path,filename,label,source,size_bytes,md5,is_exact_duplicate,keep,corrupt,width,height,mode,too_small,zero_bytes
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/056_97412d14.jpg,056_97412d14.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,27561,8bdca814da39747b514ede934d9771c5,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/027_58887f30.jpg,027_58887f30.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,32453,7ef10f8c1ba11e695c5760fb0b9794b6,False,True,False,474,569,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/094_c255b703.jpg,094_c255b703.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,26029,5cacc7ace503bf895e1607d9ad6c6f1f,False,True,False,474,587,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/048_0a32a483.jpg,048_0a32a483.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,35119,ec1cbf771807da195ab857c46416def2,False,True,False,474,591,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/050_7c5b026c.jpg,050_7c5b026c.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,37843,b518e087bf28abf51d994a3859645884,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/067_ff52c2fe.jpg,067_ff52c2fe.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,23749,714a4896e45c786740334a92af75e72f,False,True,False,474,575,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/033_23e68208.jpg,033_23e68208.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,29799,809ee034f7046d44a56b647d0391ccfc,False,True,False,474,582,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/053_05c78fa1.jpg,053_05c78fa1.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,39966,06d955ef96640bf0a9deeb5e3672d3f6,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/018_fcafe1a8.jpg,018_fcafe1a8.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,22688,8a27a4b5d216684d19d658fc93062fc0,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/082_047778bb.jpg,082_047778bb.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,38493,92179f3c9ae63a70c45b7eaa7ed805ad,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/058_02860eff.jpg,058_02860eff.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,38214,0d931e2c653547a73beb507e4a2cd17a,False,True,False,474,591,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/026_2828fcaf.jpg,026_2828fcaf.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,28972,920c8c6a78386adee345b96865d6c763,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/073_9f1d377a.jpg,073_9f1d377a.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,36231,40df7c34f22916e1a39041c131563684,False,True,False,474,581,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/029_f2882b0d.jpg,029_f2882b0d.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,4777,8f89f60f3d845522f0871237bd693581,False,True,False,160,199,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/077_27650aa3.jpg,077_27650aa3.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,36514,4a35e0a382c186e0ad8e67b0c3909bdc,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/011_7344ca35.jpg,011_7344ca35.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,32706,3b4324afb992c28f478574f790f09d49,False,True,False,474,527,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/085_f579db33.jpg,085_f579db33.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,53149,ecbd98cbfcc538b2d1798f99a25adbd1,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/008_d1f87068.jpg,008_d1f87068.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,33334,747b98eb717fd59ec56b154642d315d8,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/023_7781dd1c.jpg,023_7781dd1c.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,37735,4e40cf4b0a6ad4085acee58f521c55ff,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/078_044866e7.jpg,078_044866e7.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,31104,60f1485062071fdbd326a4f67ff261eb,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/016_8945d6ca.jpg,016_8945d6ca.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,41377,62caa9c58f880be3a755274d3254e69b,False,True,False,474,591,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/072_8d068904.jpg,072_8d068904.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,44568,e30979764374ab2eaa1c3f2f5f9be931,False,True,False,474,587,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/059_df425619.jpg,059_df425619.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,26619,4cb7bb03f2269908ea101a0720f910f1,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/031_2364f4d8.jpg,031_2364f4d8.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,6022,c43674a989b5cb6f8003ef358ce0e79f,False,True,False,160,192,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/100_31ff9373.jpg,100_31ff9373.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,27726,c78cf3b9fe19e3446143f8c487a5736e,False,True,False,474,578,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/005_582c121a.jpg,005_582c121a.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,35651,9078fc587b8c7ef2eb750cb2b23b1c54,False,True,False,474,512,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/076_1d914d5b.jpg,076_1d914d5b.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,39740,518a919b8bf7d03b38ed6e8c7bc555ff,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/009_fb3e6174.jpg,009_fb3e6174.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,35293,7afbc171a7730588cf3f28970a45aea0,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/044_512dfd33.jpg,044_512dfd33.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,34394,bf6d6b334feb6f15d08d1d67c9dea8df,False,True,False,474,563,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/075_4c504eec.jpg,075_4c504eec.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,28486,7b645723115d6c15a6147008bd5560e0,False,True,False,474,490,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/039_6b10ab98.jpg,039_6b10ab98.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,24184,a642224ddf439fd570e6a0aa979411f3,False,True,False,474,495,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/037_62d00a09.jpg,037_62d00a09.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,37025,d87f56757263395e6d8fac16640d88ce,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/042_2ccd070f.jpg,042_2ccd070f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,67523,d3bc0070299f81acf0920675b7b11edf,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/035_2e497561.jpg,035_2e497561.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,31963,ca5b67247185d35fcc79a93e2a5af237,False,True,False,474,589,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/012_cfcd4007.jpg,012_cfcd4007.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,26816,d1c31508206244173d82c563f736ae73,False,True,False,474,584,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/004_f61e7d0c.jpg,004_f61e7d0c.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,5675,e12e531ba54103162be1237e8fdfb6b4,False,True,False,160,198,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/087_f325890f.jpg,087_f325890f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,28287,a65189721513377305efdb572065b5b9,False,True,False,474,588,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/091_b5b4a62f.jpg,091_b5b4a62f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,20151,eda0c5dfdeceaa52371074b8ca59298a,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/040_2ef814c7.jpg,040_2ef814c7.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,5087,67288f5a1032036c8a0989ddec0c4a25,False,True,False,160,165,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/080_e998ab00.jpg,080_e998ab00.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,27233,009b449e8994320de650b7cb9fbfb174,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/070_1a4312d2.jpg,070_1a4312d2.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,35006,f7ab2db6187b7a735b4f190e326d9824,False,True,False,474,514,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/002_8f8da10e.jpg,002_8f8da10e.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,38793,d20cdce5908437738d47aa17ded00998,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/010_f99d79e3.jpg,010_f99d79e3.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,49009,f491d52472f398aa62e40fab66a9f65c,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/099_c22d3e48.jpg,099_c22d3e48.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,28263,9166f897ad2535938bfe696cdd8f81af,False,True,False,474,573,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/030_66bddeb6.jpg,030_66bddeb6.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,23853,c984fda7f044703b3ded1edfb3048641,False,True,False,474,448,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/036_3e807a88.jpg,036_3e807a88.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,34483,e58a4cf1a8b152784fab1559f5a54053,False,True,False,474,587,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/054_7ba62f81.jpg,054_7ba62f81.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,36734,af2e42abad3d8ba1ee1fead687483719,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/088_029ffc54.jpg,088_029ffc54.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,18452,6821a6e3eed5930e4be08180e00a4dce,False,True,False,474,463,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/081_12fb31ec.jpg,081_12fb31ec.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,39546,c35165892f1903de62a42cb31b986b1c,False,True,False,474,544,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/034_418fbbdb.jpg,034_418fbbdb.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,21367,451065da5ba8ebb664e50bb2781f6af0,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/019_57ab290d.jpg,019_57ab290d.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,39011,8ec9e56f26a22a68f04360526d9c198b,False,True,False,474,569,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/084_da751ddd.jpg,084_da751ddd.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,26973,13477ff9cff1f9f3b86572808b32c92f,False,True,False,474,585,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/038_e40d5b16.jpg,038_e40d5b16.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,25614,40330ca613d60b93f18c721a96bb75bb,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/096_75710434.jpg,096_75710434.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,5974,7b5124f904dc10ae0cf735dd1205583b,False,True,False,160,150,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/028_6a0ff8de.jpg,028_6a0ff8de.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,40914,adceba3a40bc0756304baf758dd6ef46,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/013_95ecbd39.jpg,013_95ecbd39.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,19451,a113590fe4ff6e86fe42d1a6807300d3,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/061_e18ba2b0.jpg,061_e18ba2b0.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,37270,d17e2b2f947b0ccf1e82563941be11fb,False,True,False,474,588,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/022_b497b92e.jpg,022_b497b92e.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,32531,4032144b8eb19109752c6678170795a7,False,True,False,474,511,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/095_0be163a1.jpg,095_0be163a1.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,51286,d05934bfc5cb5171dfaab0ab481902d0,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/097_9a6bf61f.jpg,097_9a6bf61f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,28662,d5db3933797e71b1c58ce50d88ba3f97,False,True,False,474,582,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/071_b537dbca.jpg,071_b537dbca.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,5818,b8898088d8b94ec2b6ae51565ee9bb2a,False,True,False,160,196,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/055_aaaf063c.jpg,055_aaaf063c.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,5798,455cc1aa15eb3e541ddc401fc0800d8f,False,True,False,160,195,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/043_b812749f.jpg,043_b812749f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,43765,238827456f744f60cbc04d88dc6fe144,False,True,False,474,528,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/090_da55509f.jpg,090_da55509f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,4818,68c2fbe751f306a1ad4df6060c3c4fe4,False,True,False,160,160,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/069_9d0e44d5.jpg,069_9d0e44d5.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,22355,7479885756a53e5183c461c0240c3670,False,True,False,474,587,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/060_4037f0f7.jpg,060_4037f0f7.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,22811,6eff393c53b56d74ac15ad097d79ab16,False,True,False,474,513,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/086_f2c730f3.jpg,086_f2c730f3.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,24413,6eeac5a1b2e6478ab6ebaca0c5bb97c2,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/047_5350c8c0.jpg,047_5350c8c0.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,26734,8bd9d75859070cc36e7f15acc4c9d947,False,True,False,474,476,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/079_40a598dc.jpg,079_40a598dc.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,44422,f1195623b8f9a119be1f8f1e5870f1e5,False,True,False,474,592,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/057_7f34f0f4.jpg,057_7f34f0f4.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,27926,061a27ecef18b859cd2423a6fac7a499,False,True,False,474,568,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/021_6e419870.jpg,021_6e419870.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,27025,7dff8d43b79ea43e734b5c96efb7ad82,False,True,False,474,574,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/001_fe3347c0.jpg,001_fe3347c0.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,36023,3cf0176bcb96021b3878dad3b3d135de,False,True,False,474,569,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/064_0de68937.jpg,064_0de68937.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,28391,38e0290f67be1a36cc6a6c0f68318948,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/062_6aa9cf8f.jpg,062_6aa9cf8f.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,36345,e08edc58d5d4ddad9d6422193e486275,False,True,False,474,583,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/083_bdada1e2.jpg,083_bdada1e2.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,21610,cec6ffe1a0e301a147eb346916d43f18,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/074_0ec79719.jpg,074_0ec79719.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,29449,334955ac36cc35866713de4f3c8a1f60,False,True,False,474,474,RGB,False,False
/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset/Angelina Jolie/007_cabbfcbb.jpg,007_cabbfcbb.jpg,Angelina Jolie,/kaggle/input/celebrity-face-image-dataset/Celebrity Faces Dataset,21699,7d1ffb738382a7bf185df681b17dea96,False,True,False,474,498,RGB,False,False
